team,name,sport,blessure,position,date,position_complet
Houston,L. Tunsil,nfl,Knee,OT,2024-05-01,Offensive Tackle
Houston,M. Stewart,nfl,Shoulder,SAF,2024-05-01,Safety
Houston,G. Arnold,nfl,Calf,SAF,2024-05-01,Safety
Houston,L. Johnson,nfl,Knee,CB,2024-05-01,Cornerback
Indianapolis,T. Leo,nfl,Undisclosed,DE,2024-05-01,Defensive End
Indianapolis,W. Mallory,nfl,Hamstring,TE,2024-05-01,Tight End
Indianapolis,A. Richardson,nfl,Shoulder - AC Joint,QB,2024-05-01,Quarterback
Indianapolis,J. Witt,nfl,Hip,OT,2024-05-01,Offensive Tackle
Indianapolis,B. Smith,nfl,Knee,OT,2024-05-01,Offensive Tackle
Indianapolis,G. Avery,nfl,Knee - Meniscus,DE,2024-05-01,Defensive End
Indianapolis,D. Scott,nfl,Knee - ACL,SAF,2024-05-01,Safety
Indianapolis,J. Woods,nfl,Hamstring,TE,2024-05-01,Tight End
Indianapolis,D. Flowers,nfl,Achilles,CB,2024-02-12,Cornerback
Indianapolis,A. Dulin,nfl,Knee - ACL,WR,2024-02-12,Wide Receiver
Jacksonville,G. Davis,nfl,Knee,WR,2024-05-10,Wide Receiver
Jacksonville,C. Hodges,nfl,Knee,OT,2024-05-01,Offensive Tackle
Jacksonville,C. Braswell,nfl,Hamstring,CB,2024-05-01,Cornerback
Jacksonville,C. Kirk,nfl,Groin,WR,2024-05-01,Wide Receiver
Jacksonville,A. Armstead,nfl,Knee - Meniscus,DE,2024-05-01,Defensive End
Jacksonville,D. Thomas,nfl,Forearm,SAF,2024-05-01,Safety
Jacksonville,V. Miller,nfl,Achilles,LB,2024-02-12,Linebacker
Kansas City,C. Jones,nfl,Chest,LB,2024-05-01,Linebacker
Kansas City,B. Cook,nfl,Ankle,FS,2024-05-01,Free Safety
Kansas City,N. Remigio,nfl,Wrist,WR,2024-05-01,Wide Receiver
Kansas City,D. Nnadi,nfl,Triceps,NT,2024-05-01,Nose Tackle
Kansas City,J. Thuney,nfl,Pectoral,OG,2024-05-01,Offensive Guard
Kansas City,N. Johnson,nfl,Knee - ACL,SAF,2024-05-01,Safety
Kansas City,M. Brown,nfl,Heel,WR,2024-05-01,Wide Receiver
Kansas City,C. Omenihu,nfl,Knee - ACL,DE,2024-02-12,Defensive End
Las Vegas,D. Butler,nfl,Undisclosed,LB,2024-05-01,Linebacker
Las Vegas,T. Munford,nfl,Knee,OT,2024-05-01,Offensive Tackle
Las Vegas,A. Walter,nfl,Undisclosed,RB,2024-05-01,Running Back
Las Vegas,C. Fotheringham,nfl,Hamstring,TE,2024-05-01,Tight End
L.A. Chargers,C. Linsley,nfl,Illness,C,2024-05-10,Center
L.A. Chargers,Z. Johnson,nfl,Neck,OG,2024-05-01,Offensive Guard
L.A. Chargers,C. Rumph II,nfl,Foot,LB,2024-05-01,Linebacker
L.A. Chargers,J. Palmer,nfl,Knee,WR,2024-05-01,Wide Receiver
L.A. Chargers,T. Pipkins,nfl,Knee,OT,2024-05-01,Offensive Tackle
L.A. Chargers,J. Hollins,nfl,Shoulder,LB,2024-05-01,Linebacker
L.A. Chargers,T. Dye,nfl,Wrist,LB,2024-05-01,Linebacker
L.A. Chargers,J. Bosa,nfl,Foot,LB,2024-05-01,Linebacker
L.A. Chargers,J. Herbert,nfl,Finger,QB,2024-05-01,Quarterback
L.A. Chargers,J. Dobbins,nfl,Achilles,RB,2024-02-12,Running Back
L.A. Rams,S. Bennett,nfl,Illness,QB,2024-05-01,Quarterback
L.A. Rams,A. Ward,nfl,Neck,LS,2024-05-01,Long Snapper
L.A. Rams,H. Long,nfl,Knee - MCL,TE,2024-05-01,Tight End
L.A. Rams,J. Jackson,nfl,Knee - Meniscus,OG,2024-05-01,Offensive Guard
