team,nom,position,blessure,date,sport
L.A. Chargers,Troy Dye,LB,Wrist,"Wed, May 1",nfl
L.A. Chargers,Justin Herbert,QB,Finger,"Wed, May 1",nfl
L.A. Chargers,J.K. Dobbins,RB,Achilles,"Mon, Feb 12",nfl
L.A. Rams,Stetson Bennett,QB,Illness,"Wed, May 1",nfl
L.A. Rams,Hunter Long,TE,Knee - MCL,"Wed, May 1",nfl
L.A. Rams,Alex Ward,LS,Neck,"Wed, May 1",nfl
L.A. Rams,Jonah Jackson,OG,Knee - Meniscus,"Wed, May 1",nfl
L.A. Rams,Shaun Jolly,DB,Undisclosed,"Wed, May 1",nfl
L.A. Rams,Tre'Davious White,CB,Achilles,"Mon, Feb 12",nfl
L.A. Rams,Tyler Higbee,TE,Knee - ACL + MCL,"Fri, Jan 19",nfl
Miami,Erik Ezukanma,WR,Neck,"Wed, May 1",nfl
Miami,Zeke Vandenburgh,LB,Undisclosed,"Wed, May 1",nfl
Miami,Jevon Holland,SAF,Knee,"Wed, May 1",nfl
Miami,Salvon Ahmed,RB,Foot,"Wed, May 1",nfl
Miami,Cameron Goode,LB,Kneecap,"Tue, Feb 13",nfl
Miami,Bradley Chubb,OLB,Knee - ACL,"Tue, Feb 13",nfl
Miami,Jaelan Phillips,LB,Achilles,"Tue, Feb 13",nfl
Minnesota,NaJee Thompson,CB,Knee,"Wed, May 1",nfl
Minnesota,Theo Jackson,DB,Toe,"Wed, May 1",nfl
Minnesota,Jaquelin Roy,DT,Ankle,"Wed, May 1",nfl
Minnesota,Mekhi Blackmon,DB,Shoulder,"Wed, May 1",nfl
Minnesota,Malik Knowles,WR,Undisclosed,"Wed, May 1",nfl
Minnesota,Jalen Nailor,WR,Concussion,"Wed, May 1",nfl
Minnesota,Brian O'Neill,OT,Foot,"Wed, May 1",nfl
Minnesota,Andrew Van Ginkel,OLB,Foot,"Wed, May 1",nfl
Minnesota,Ed Ingram,OG,Shoulder,"Wed, May 1",nfl
Minnesota,Byron Murphy,CB,Knee - MCL,"Wed, May 1",nfl
Minnesota,T.J. Hockenson,TE,Knee - ACL + MCL,"Tue, Feb 13",nfl
New England,Daniel Ekuale,DT,Biceps,"Wed, May 1",nfl
New England,Marcus Jones,CB,Shoulder,"Wed, May 1",nfl
New England,Vederian Lowe,OT,Head,"Wed, May 1",nfl
New England,Christian Gonzalez,CB,Shoulder - Labrum,"Wed, May 1",nfl
New England,Tyquan Thornton,WR,Ankle,"Wed, May 1",nfl
New England,Isaiah Bolden,CB,Concussion,"Wed, May 1",nfl
New England,Matt Judon,OLB,Biceps,"Wed, May 1",nfl
New England,Riley Reiff,OT,Knee,"Wed, May 1",nfl
New England,Raekwon McMillan,MLB,Achilles,"Wed, May 1",nfl
New England,Cole Strange,OG,Knee,"Wed, May 1",nfl
New England,Kendrick Bourne,WR,Knee - ACL,"Tue, Feb 13",nfl
New Orleans,Nick Saldiveri,OG,Shoulder,"Wed, May 1",nfl
New Orleans,Marshon Lattimore,CB,Ankle,"Wed, May 1",nfl
New Orleans,Shane Lemieux,OG,Biceps,"Wed, May 1",nfl
New Orleans,Alvin Kamara,RB,Ankle,"Wed, May 1",nfl
New Orleans,Landon Young,OT,Knee,"Wed, May 1",nfl
New Orleans,Ryan Ramczyk,OT,Knee,"Wed, Apr 17",nfl
New Orleans,Cameron Jordan,DE,Ankle,"Mon, Mar 25",nfl
New Orleans,Chase Young,DE,Neck,"Tue, Mar 19",nfl
New Orleans,Nephi Sewell,LB,Knee - ACL,"Tue, Feb 13",nfl
N.Y. Giants,Gary Brightwell,RB,Hamstring,"Wed, May 1",nfl
N.Y. Giants,Jason Pinnock,SS,Toe,"Wed, May 1",nfl
N.Y. Giants,Evan Neal,OT,Ankle,"Wed, May 1",nfl
N.Y. Giants,Deonte Banks,CB,Shoulder,"Wed, May 1",nfl
N.Y. Giants,Joshua Ezeudu,OT,Toe,"Wed, May 1",nfl
N.Y. Giants,Lawrence Cager,TE,Groin,"Wed, May 1",nfl
N.Y. Giants,Darius Slayton,WR,Thumb,"Wed, May 1",nfl
N.Y. Giants,Graham Gano,K,Knee,"Wed, May 1",nfl
N.Y. Giants,John Michael Schmitz,C,Shin,"Wed, May 1",nfl
N.Y. Giants,Bryce Ford-Wheaton,WR,Knee,"Tue, Feb 13",nfl
N.Y. Giants,Daniel Jones,QB,Knee - ACL,"Tue, Feb 13",nfl
N.Y. Giants,Aaron Robinson,CB,Knee - ACL + MCL,"Tue, Feb 13",nfl
N.Y. Giants,Tyre Phillips,OT,Quadriceps,"Tue, Feb 13",nfl
N.Y. Jets,Zaire Barnes,LB,Hamstring,"Wed, May 1",nfl
